time,temperature_2m_mean,temperature_2m_max,apparent_temperature_mean,rain_sum,wind_speed_10m_mean,if_rain,temp_daily_ROC,wind_speed,rainfall_share
2025-10-01,64.9,70.4,65.6,0.0,5.6,False,,low,0.0
2025-10-02,66.5,75.2,66.6,0.0,5.4,False,0.02465331278890592,low,0.0
2025-10-03,71.7,86.6,72.6,0.0,4.6,False,0.07819548872180455,low,0.0
2025-10-04,73.9,85.8,74.3,0.0,6.3,False,0.030683403068340345,medium,0.0
2025-10-05,71.6,81.2,69.2,0.0,8.7,False,-0.031123139377537364,high,0.0
2025-10-06,65.4,78.6,64.7,0.047,7.3,True,-0.08659217877094957,medium,0.2848484848484849
2025-10-07,58.4,67.1,55.8,0.063,5.4,True,-0.10703363914373099,low,0.34054054054054056
2025-10-08,52.0,60.0,47.1,0.0,5.9,False,-0.10958904109589039,medium,0.0
2025-10-09,51.9,64.4,47.9,0.0,4.9,False,-0.0019230769230769505,low,0.0
2025-10-10,56.4,66.0,52.5,0.0,7.0,False,0.08670520231213873,medium,0.0
2025-10-11,54.6,61.4,51.6,0.0,5.0,False,-0.031914893617021226,low,0.0
2025-10-12,59.0,62.7,56.0,0.0,6.7,False,0.08058608058608056,medium,0.0
2025-10-13,58.2,61.1,58.5,0.016,2.8,True,-0.013559322033898256,low,0.08648648648648649
2025-10-14,55.9,61.6,52.8,0.0,7.6,False,-0.039518900343642686,high,0.0
2025-10-15,54.0,58.7,51.9,0.102,4.5,True,-0.033989266547406055,low,0.5513513513513513
2025-10-16,56.9,62.9,54.2,0.0,5.6,False,0.05370370370370368,low,0.0
2025-10-17,64.5,74.1,61.7,0.0,8.7,False,0.13356766256590513,high,0.0
2025-10-18,65.4,74.0,64.4,0.118,7.4,True,0.013953488372093112,medium,0.7151515151515152
2025-10-19,50.8,56.2,44.7,0.717,10.4,True,-0.2232415902140674,high,0.8628158844765343
2025-10-20,51.2,62.6,44.8,0.047,8.3,True,0.007874015748031609,high,0.056558363417569195
2025-10-21,46.4,51.2,39.3,0.059,11.3,True,-0.09375000000000008,high,0.07099879663056559
2025-10-22,44.4,47.6,36.7,0.008,12.2,True,-0.04310344827586207,high,0.009626955475330927
2025-10-23,42.5,49.0,35.5,0.0,8.0,False,-0.042792792792792765,high,0.0
2025-10-24,41.1,51.6,35.6,0.0,4.1,False,-0.0329411764705882,low,0.0
2025-10-25,41.0,49.9,36.3,0.004,3.5,True,-0.0024330900243309346,low,0.021621621621621623
2025-10-26,45.6,56.0,40.0,0.0,6.4,False,0.11219512195121954,medium,0.0
2025-10-27,49.0,53.5,42.8,0.0,8.1,False,0.0745614035087719,high,0.0
2025-10-28,51.2,55.3,44.8,0.0,9.6,False,0.04489795918367353,high,0.0
2025-10-29,48.6,54.4,42.7,0.0,8.9,False,-0.05078125000000003,high,0.0
2025-10-30,44.5,54.7,39.4,0.0,4.8,False,-0.0843621399176955,low,0.0
2025-10-31,44.6,52.0,38.6,0.0,6.4,False,0.002247191011235987,medium,0.0
