,month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag,state,country
0,202510,12021,"collier, fl",699497.0,0.0138,-0.0661,5635,0.0651,0.1217,93.0,-0.1806,0.0751,1544,0.6321,0.0518,32,-0.0588,-0.3333,0.0039,-0.0007,-0.0026,1108.0,0.1102,0.0552,0.1369,-0.0007,-0.0064,940.0,-0.0776,0.1112,401.0,0.0044,-0.0588,1794.0,0.013,0.0041,1592277.0,0.013,-0.1185,6568,0.0411,0.1208,0.1667,-0.0258,-0.0016,0,Non-State,Non-Nation
1,202510,12121,"suwannee, fl",369250.0,-0.0196,0.0075,128,-0.0266,0.4066,106.0,0.122,0.2589,22,-0.2143,0.8333,2,-0.0238,-0.24659999999999999,0.0098,0.0098,0.0098,42.0,0.3125,1.1,0.2439,0.0612,0.0882,24.0,-0.1864,-0.0588,216.0,-0.0143,0.0171,1782.0,0.0034,0.0292,455180.0,-0.0023,-0.1085,152,-0.0531,0.3004,0.1875,-0.0368,-0.0927,1,Non-State,Non-Nation
2,202510,12097,"osceola, fl",425000.0,-0.0035,-0.0105,4215,0.0072,0.0886,92.0,-0.016,0.122,984,0.1284,-0.0593,78,0.3448,-0.3276,0.0125,0.0029,-0.0066,1330.0,0.131,0.1466,0.2115,0.0178,0.0203,1008.0,-0.0549,-0.1266,217.0,-0.0031,-0.0399,1914.0,0.0,0.0063,511384.0,0.002,-0.0126,5228,-0.0035,0.0414,0.2391,-0.0157,-0.0589,0,Non-State,Non-Nation
3,202510,12099,"palm beach, fl",495000.0,0.0206,-0.0341,12347,0.0096,0.0352,82.0,-0.0632,0.1088,3188,0.0993,0.0337,144,0.1429,0.2414,0.0079,0.0009,0.0013,3292.0,0.0224,-0.0266,0.1788,-0.0014,-0.013,2807.0,-0.0223,0.0669,306.0,0.0132,-0.0233,1499.0,0.0054,-0.0017,1403587.0,0.0552,0.0753,15147,0.0053,0.0412,0.2273,-0.0074,0.0068,0,Non-State,Non-Nation
4,202510,12007,"bradford, fl",349900.0,0.0006,0.0605,78,-0.0064,-0.0549,89.0,-0.0432,0.1132,22,0.375,0.2222,0,-0.0238,-0.24659999999999999,0.0,0.0,0.0,26.0,-0.0714,0.0,0.2127,-0.0136,0.0123,28.0,-0.2143,-0.0833,204.0,0.0259,0.0362,1815.0,-0.0015,0.0736,414911.0,0.0122,0.159,104,-0.0673,-0.0714,0.3548,-0.0939,-0.011,0,Non-State,Non-Nation
5,202510,12075,"levy, fl",349000.0,-0.0026,0.0117,269,0.0151,0.4169,113.0,0.0918,0.1133,50,0.3889,0.6667,2,-0.0238,-0.24659999999999999,0.0055,0.0055,0.0055,64.0,0.1034,0.7778,0.183,0.0038,0.0409,32.0,-0.0588,-0.0725,232.0,-0.0037,0.0174,1513.0,-0.0153,0.0286,450948.0,-0.0046,0.0116,299,0.0034,0.3356,0.1192,-0.0094,-0.0629,0,Non-State,Non-Nation
6,202510,12107,"putnam, fl",311351.0,0.039,-0.0194,329,0.0123,0.0699,82.0,-0.0523,0.0382,64,-0.0588,-0.0588,0,-1.0,-1.0,0.0,-0.0041,-0.0087,102.0,-0.0893,0.186,0.2194,-0.0159,0.0316,80.0,0.0392,-0.0479,205.0,0.0184,-0.0251,1545.0,0.0019,-0.0453,411001.0,0.0174,-0.0361,407,0.015,0.0423,0.2416,0.0063,-0.0299,0,Non-State,Non-Nation
7,202510,12017,"citrus, fl",309325.0,-0.0125,-0.0409,1819,0.0108,0.3571,85.0,0.0,0.1039,452,0.0273,0.1024,10,-0.5,-0.375,0.0039,-0.0036,-0.0036,622.0,-0.046,0.467,0.2404,-0.0011,0.0429,410.0,-0.0756,0.0149,185.0,-0.0023,-0.048,1685.0,-0.003,0.0135,389534.0,-0.0074,-0.0276,2211,-0.0099,0.2736,0.2252,-0.0211,-0.0759,0,Non-State,Non-Nation
8,202510,12113,"santa rosa, fl",398500.0,0.0153,0.0134,1209,0.0105,0.0294,70.0,-0.0211,-0.0347,396,0.0588,0.0154,44,0.5714,-0.2143,0.0208,0.0073,-0.0066,480.0,-0.0769,0.1009,0.2319,-0.0198,0.0191,493.0,-0.0645,0.0061,209.0,0.0021,0.0223,1949.0,0.0122,0.0223,560380.0,0.0202,0.0488,1693,-0.0157,0.0208,0.4079,-0.0327,-0.0094,0,Non-State,Non-Nation
9,202510,12109,"st. johns, fl",535000.0,-0.0102,-0.0065,2548,-0.0486,-0.0288,89.0,0.0057,0.1346,624,-0.0574,-0.1811,32,-0.0588,-0.4074,0.0079,0.0002,-0.0045,1018.0,-0.0286,0.0538,0.2429,0.0022,0.0212,957.0,-0.0627,-0.0279,266.0,-0.0095,-0.0233,2013.0,-0.0076,0.0465,771061.0,-0.0006,0.045,3507,-0.0519,-0.025,0.3755,-0.0057,0.0003,0,Non-State,Non-Nation
10,202510,12001,"alachua, fl",324925.0,-0.0047,-0.0624,1108,0.0036,0.1585,84.0,0.05,0.1429,244,-0.1286,-0.0081,8,0.0,-0.6364,0.0047,0.0001,-0.0098,356.0,-0.0964,0.1634,0.2084,-0.0164,0.0064,336.0,-0.0482,0.065,203.0,-0.0077,-0.0267,1590.0,0.0059,-0.0197,422158.0,-0.0087,-0.028,1439,-0.0107,0.134,0.3034,-0.0165,-0.0266,0,Non-State,Non-Nation
11,202510,12071,"lee, fl",399900.0,0.0,-0.0692,11040,0.0346,0.1333,91.0,-0.0995,0.0838,2774,0.3222,0.1114,136,0.2143,-0.1282,0.0086,0.0011,-0.0023,3180.0,0.1213,0.0433,0.2015,0.0112,-0.0125,2042.0,-0.0531,0.0084,244.0,-0.0004,-0.0605,1670.0,0.0009,-0.013,622961.0,0.0179,-0.0615,13039,0.0185,0.1104,0.185,-0.0171,-0.0229,0,Non-State,Non-Nation
12,202510,12019,"clay, fl",370373.0,0.0037,-0.0136,985,-0.0238,-0.0194,71.0,0.029,-0.047,320,-0.0805,0.0,88,3.0,-0.4054,0.0523,0.0398,-0.0326,446.0,-0.1116,-0.0935,0.2618,-0.0242,-0.0204,406.0,-0.011,-0.0402,190.0,0.0043,-0.0223,1895.0,-0.0007,-0.0186,433601.0,0.0074,-0.0088,1393,-0.018,-0.0218,0.4124,0.0054,-0.0089,0,Non-State,Non-Nation
13,202510,12117,"seminole, fl",399900.0,0.0003,-0.0352,1534,-0.0448,-0.0113,71.0,0.0519,0.1545,546,0.1471,-0.0554,14,-0.3636,-0.4167,0.0053,-0.0032,-0.0034,690.0,-0.1288,-0.131,0.2646,-0.037,-0.024,554.0,0.0036,-0.1129,233.0,-0.0037,-0.0243,1706.0,0.0006,-0.012,493394.0,0.0143,-0.0392,2088,-0.0322,-0.0393,0.3611,0.0174,-0.0414,0,Non-State,Non-Nation
